key,d_upland,afr_final,a_crop,a_forage,x_woodland,a_tot,n_farm,sh_dairy_GM,sh_cereal_GM,sh_crop_GM,sh_livestock_GM,sh_dairy_area,sh_cereal_area,sh_crop_area,sh_livestock_area,d_class_dairy,d_class_cereal,d_class_crop,d_class_livestock,class,total_fixed_cost,total_fixed_cost_ex_lab,total_fixed_cost_pix,total_fixed_cost_ex_lab_pix
Eng_470000_110000,0,39.6010521333274,648.618368536234,386.466125488281,59.6108703613281,1094.69536438584,27.6430878831265,0.240715173780168,0.431798981485686,0.704210908566706,0.295789091433294,0.0584272136860101,0.423233281200808,0.626633257749171,0.373366742250829,0,0,1,0,crop,1075,785,1112715.83107635,812541.327809244
Eng_470000_115000,0,40.2273117391004,677.041399408131,404.235628128052,59.5427017211914,1140.81972925737,28.359332998842,0.244531638533926,0.436131651144501,0.70202500419773,0.29797499580227,0.0592627124848077,0.426798155996101,0.626149804505557,0.373850195494443,0,0,1,0,crop,1075,785,1162372.8046014,848802.466615904
Eng_470000_120000,0,40.2815734989648,984.295905172824,655.796283721923,130.724273681641,1770.81646257639,43.9609555625203,0.245194859899422,0.438747157713013,0.697358503909439,0.302641496090561,0.0636645048067832,0.409432807395062,0.600146694092932,0.399853305907068,0,0,1,0,crop,1075,785,1763099.10306185,1287472.36828238
Eng_470000_125000,0,40.2815734989648,907.75196999684,712.871410369873,222.195373535156,1842.81875390187,45.7484302083986,0.244785558437888,0.461424155236792,0.683633604588332,0.316366395411668,0.0800915748723946,0.387252689733521,0.560125184539442,0.439874815460558,0,0,1,0,crop,1075,785,1742170.13389422,1272189.35358787
Eng_470000_130000,0,40.2815734989648,912.133875563741,608.597328186035,179.131362915039,1699.86256666482,42.1995075914425,0.186139737104562,0.507287437721517,0.749246072149542,0.250753927850458,0.0585325402789972,0.421986412648786,0.599799539402248,0.400200460597753,0,0,1,0,crop,1075,785,1634786.04403101,1193773.99494357
Eng_470000_135000,0,40.2815734989648,703.374774679542,775.029182434082,175.401489257812,1653.80544637144,41.056128217383,0.123557915976653,0.479653291257497,0.795508054527927,0.204491945472073,0.0619111375310648,0.317903982167429,0.475766296008016,0.524233703991984,0,0,1,0,crop,1075,785,1589284.25389715,1160547.10633419
Eng_470000_140000,0,40.2815734989648,928.673783078789,419.469814300537,144.300888061523,1492.44448544085,37.0503025528336,0.181898963485855,0.540308349777622,0.76350315730851,0.23649684269149,0.0449336319498688,0.497382922185162,0.68885375777777,0.31114624222223,0,0,1,0,crop,1075,785,1449254.36718278,1058292.72394277
Eng_470000_145000,0,40.2815734989648,946.240855094046,374.270907402038,137.952453613281,1458.46421610936,36.2067339833893,0.187472298710826,0.545578794191314,0.760257688337275,0.239742311662725,0.0441894872896465,0.520694183662369,0.716571318763132,0.283428681236869,0,0,1,0,crop,1075,785,1419550.14468329,1036601.73355943
Eng_470000_150000,0,40.2815734989648,744.420948542654,384.92912197113,98.159912109375,1227.50998262316,30.4732381582538,0.214241879698195,0.50434550517184,0.737154937566572,0.262845062433428,0.0852176935461192,0.480541581440184,0.659158721444086,0.340841278555914,0,0,1,0,crop,1075,785,1214051.32580232,886539.805353321
Eng_470000_155000,0,40.2815734989648,1031.14972938411,743.549052715302,120.381607055664,1895.08038915508,47.045838197055,0.246802156659619,0.45001889281109,0.709702196206909,0.290297803793091,0.140629024053088,0.425663539064319,0.581028025592204,0.418971974407796,0,0,1,0,crop,1075,785,1907801.19075687,1393138.54394804
Eng_470000_160000,0,43.6294652498435,732.979465614073,519.005320072174,86.1047515869141,1338.08953727316,30.6694003607564,0.244816737724897,0.454358257913474,0.709200095272971,0.290799904727029,0.137066017449552,0.426810222737669,0.585453971960456,0.414546028039544,0,0,1,0,crop,1075,785,1345883.64461271,982808.056763703
