i,GM_RAS,units
326,15264.5394968604,50
327,18317.4473962324,60
328,6105.81579874412,20
329,9158.7236981162,30
330,-34692.3598135815,0
331,-40606.0431939311,0
332,-28684.4987164728,0
333,-11147.4775546278,0
334,-17835.710060923,0
336,-45462.9982731114,0
337,52615.6614329694,14
338,5321.11153082935,10
339,-7717.73056015791,0
340,-18872.6338564768,0
341,-12574.6856393382,0
342,-34500.227395187,0
343,3052.90789937206,10
344,-24786.3172368264,0
345,-51568.8140718555,0
346,3052.90789937206,10
347,-13823.546358902,0
348,-37745.2677129535,0
349,-48515.9061724835,0
350,10407.5844176799,69
351,-11325.8249197743,0
352,-37553.1352945591,0
353,1248.86071956385,39
354,-40606.0431939311,0
355,-26859.3546304247,0
356,-34553.9193079856,0
357,-13120.3564603538,0
358,7898.1077168124,20
359,0,0
360,12211.6315974882,40
361,-2338.05430906822,0
362,-6232.48959917846,0
363,-7717.73056015791,0
364,-7717.73056015791,0
365,-21925.5417558488,0
366,-35749.0881147508,0
367,-19929.3621576462,0
368,-13823.546358902,0
369,-29643.2723160067,0
370,3052.90789937206,10
371,-32888.3126337732,0
372,-4856.95507918028,0
373,6105.81579874412,20
374,-36304.2745749953,0
375,-33251.3666756232,0
376,-26590.3644166347,0
377,-15627.5935387103,0
378,-37745.2677129535,0
379,-12935.1995598384,0
380,-43851.0835116976,0
381,-48402.5202560111,0
382,-33799.6648290276,0
383,15264.5394968604,50
384,15734.9351317026,3
385,20128.6033635445,7
386,-27189.1991398883,0
387,-10770.63845953,0
388,-21925.5417558488,0
389,-25240.7934811292,0
390,-35941.2205331453,0
391,-35941.2205331453,0
392,-18872.6338564768,0
393,-40798.1756123256,0
394,0,0
395,-10962.7708779244,0
396,6105.81579874412,20
397,21370.3552956043,70
398,-17431.6407185185,0
399,-43658.9510933032,0
400,-16705.5407622027,0
401,-43218.1879344323,0
402,-37439.729270657,0
403,-45624.5661745656,0
404,-1773.48266286794,0
405,-76695.6124700808,0
406,-29835.4047344011,0
407,16293.1479285049,3
408,-32737.6016829552,0
409,-26110.0889458866,0
410,-32888.3126337732,0
411,-47284.4881810633,0
412,-43658.9510933032,0
413,-7909.86297855235,0
414,-29835.4047344011,0
415,-7909.86297855235,0
416,0,0
417,-21925.5417558488,0
418,21370.3552956043,70
419,-31639.4519142094,0
420,-1804.0471798082,0
421,4842.2030403353,20
422,-42515.7819117422,0
423,-7415.80555218851,0
424,-24703.4958372944,0
425,3546.96532573589,0
426,-49584.8920783812,0
427,-555.186460244469,0
428,0,0
429,25999.7766366138,5
430,-26060.6694868691,0
432,-10962.7708779244,0
433,-10962.7708779244,0
434,-44068.9702198826,0
435,-10962.7708779244,0
436,-54621.7219712276,0
437,-18680.5014380823,0
438,-32696.1802153788,0
439,-40606.0431939311,0
440,-34500.227395187,0
441,-39357.1824743673,0
442,-12574.6856393382,0
443,-1611.91476141382,0
444,-24544.7539267323,0
445,-10962.7708779244,0
446,-32119.3013894829,0
447,-20152.0590929809,0
448,-32888.3126337732,0
449,12211.6315974882,40
450,-156573.994446443,0
451,-61561.4104675335,0
452,-18050.6063213735,0
453,16988.7336883893,4
454,0,0
455,0,0
456,-21925.5417558488,0
457,0,0
458,-2360.08845002209,0
459,-9521.77773996611,0
460,-3608.0943596164,0
461,0,0
462,67188.0454167216,11
463,89553.6816968364,18
464,51290.2904072469,37
465,9538.86782976304,37
466,25698.2928675142,35
467,41359.2531774152,67
468,57162.7024531261,74
469,20857.6144697279,29
470,77081.0083665741,14
472,-6661.00225898845,0
473,-34500.227395187,0
474,-2505.15134106018,0
475,-25923.7250578753,0
476,-61138.7737968035,0
477,-35666.2667152188,0
478,-10193.7596336341,0
479,-75098.8806458068,0
480,10599.7168360745,75
481,-10962.7708779244,0
482,-582593.038808884,0
483,-433616.128825224,0
484,-156198.436380639,0
485,-51100.0966806011,0
486,-72377.3744629475,0
487,8427.43165553093,0
488,-6779.25144453952,0
489,-708.656762263738,0
490,-44381.2380248227,0
491,-37870.9794560912,0
492,-3943.18037096163,0
493,18167.9466908697,4
495,11432.5326022883,0
496,10985.5407063896,6
497,-28826.1240004782,0
498,-4664.82266078587,0
499,-25533.6361154652,0
500,-31639.4519142094,0
501,1248.86071956385,39
502,-45404.9136988072,0
503,-50176.002918879,0
504,-1773.48266286794,0
505,-24703.4958372944,0
506,-47398.0488374335,0
507,-19070.8346054492,0
508,-3415.96194122208,0
509,-164100.703261588,0
510,-274122.196102805,0
511,-55344.0089027471,0
512,-66306.7797806715,0
513,-26817.7179514973,0
514,-34066.7311204007,0
516,-16385.101586698,0
517,-67485.198267299,0
518,-33418.4671468983,0
519,-55344.0089027471,0
520,-23103.9602424763,0
521,-27347.8724646224,0
522,-17033.3655602004,0
523,-18952.2596220805,0
524,-770.489403197642,0
525,-43202.8195381952,0
526,47168.6422798785,14
527,-1804.0471798082,0
528,1440.99313795828,45
529,-555.186460244469,0
530,-15230.1166197384,0
531,-37950.8043987478,0
532,-39982.243285245,0
533,-16283.2188665282,0
534,-61138.7737968035,0
535,-61138.7737968035,0
536,-57552.2246113468,0
537,-46172.1818178797,0
538,-8465.0494387967,0
539,0,0
540,-37628.4882068125,0
541,-43010.1994909499,0
542,-10962.7708779244,0
543,-43851.0835116976,0
544,-10962.7708779244,0
545,-61337.0956298786,0
546,-125472.300578579,0
547,-66195.1127621901,0
548,-43786.5180424698,0
549,-22455.6962689739,0
550,-45029.5019983251,0
551,-49921.6781939736,0
552,-45029.5019983251,0
553,-50451.8327070986,0
554,-67485.198267299,0
555,-44381.2380248227,0
556,-55992.2728762495,0
557,-26817.7179514973,0
558,-44381.2380248227,0
559,-21770.2080259208,0
560,51900.8038828634,10
561,38424.3815176843,5
562,-33418.4671468983,0
563,80207.3632106081,14
564,-28394.4115964429,0
565,-25341.5036970709,0
566,13460.4923170521,79
567,-54269.6107980437,0
568,-51949.485581747,0
569,-30023.9438258982,0
570,-40986.7147038226,0
571,-19830.1841922641,0
572,-57269.9335703508,0
573,-30023.9438258982,0
574,0,0
576,-27145.550876879,0
578,-40863.5050432373,0
579,-52957.1824318917,0
580,-30988.5195911276,0
581,-37175.7488789184,0
582,-77083.4183108955,0
583,-22411.6600663694,0
584,-38276.7647548717,0
