i,stocking_dairy_temp,stocking_dairy_perm,stocking_dairy_rough,stocking_beef_temp,stocking_beef_perm,stocking_beef_rough,stocking_sheep_temp,stocking_sheep_perm,stocking_sheep_rough,herd_dairy,herd_beef,herd_sheep,ig_herd_dairy,ig_herd_beef,ig_herd_sheep,dairy,beef,sheep
39,3,0.314973847338601,0,0,1.0348178450791,0,0,0,5.79511203938206,293.625102996826,192.513557434082,178.29289662838,0,0,0,293.625102996826,192.513557434082,178.29289662838
40,3,0.324633692613551,0,0,1.04047155031087,0,0,0,13.1201598939346,597.421440124512,391.419853210449,821.361528396606,0,0,0,597.421440124512,391.419853210449,821.361528396606
41,3,0.28544320185715,0,0,1.01783887189491,0,0,0,8.69352859319327,868.709770202637,571.133594512939,790.894679069519,0,0,0,868.709770202637,571.133594512939,790.894679069519
42,3,0.137938592161223,0,0,0.975478851803586,0,0,0,10.5560448007966,712.500015258789,578.956462860107,503.178005695343,0,0,0,712.500015258789,578.956462860107,503.178005695343
43,2.58895473892166,0,0,0,0.969325541446811,0,0,0.144516303553273,45,668.596771240234,806.926773071289,752.628768920898,0,0,0,668.596771240234,806.926773071289,752.628768920898
44,2.80535796427494,0,0,0,0.923572524976222,0,0,0.263261222284843,45,700.544662475586,761.990005493164,688.593396186829,0,0,0,700.544662475586,761.990005493164,688.593396186829
45,2.76280438435037,0,0,0,0.973483835606642,0,0,0.181569154092375,45,463.971252441406,531.72900390625,495.408373832703,0,0,0,463.971252441406,531.72900390625,495.408373832703
46,2.52039142714597,0,0,0,0.938421999613031,0,0,0.226485876336557,45,729.98551940918,811.115295410156,1724.29867172241,0,0,0,729.98551940918,811.115295410156,1724.29867172241
47,2.36760944999559,0,0,0,1.0434573866202,0,0,2.47981067455628,45,150.947620391846,176.830186843872,1013.40840816498,0,0,0,150.947620391846,176.830186843872,1013.40840816498
48,3,0.314322113942329,0,0,1.03438027702247,0,0,0,9.90821184195575,447.616432189941,293.469764709473,464.723989486694,0,0,0,447.616432189941,293.469764709473,464.723989486694
49,3,0.249591453291329,0,0,0.996169196294273,0,0,0,5.81818600975717,1450.35020446777,955.186294555664,883.913012504578,0,0,0,1450.35020446777,955.186294555664,883.913012504578
50,3,0.11362927262214,0,0,0.967633520571816,0,0,0,12.7129500761227,520.017562866211,441.047996520996,379.284112930298,0,0,0,520.017562866211,441.047996520996,379.284112930298
51,3,0.0219708794235723,0,0,0.947153429934724,0,0,0.30791684436478,45,371.896812438965,383.171977996826,330.106724262238,0,0,0,371.896812438965,383.171977996826,330.106724262238
52,2.9449415666225,0,0,0,0.921303186671989,0,0,0.271338365029401,45,562.155040740967,583.015434265137,542.556354522705,0,0,0,562.155040740967,583.015434265137,542.556354522705
53,2.80968516535786,0,0,0,0.914379892082322,0,0,0.367001343995609,45,628.464912414551,660.407249450684,890.859689712524,0,0,0,628.464912414551,660.407249450684,890.859689712524
54,2.63702581410829,0,0,0,0.913273068736605,0,0,0.175793474771658,45,777.643203735352,836.801109313965,1336.80047416687,0,0,0,777.643203735352,836.801109313965,1336.80047416687
55,2.28793585329721,0,0,0,1.00895842412252,0,0,0.339845470034193,45,462.640068054199,542.495403289795,1995.14186096191,0,0,0,462.640068054199,542.495403289795,1995.14186096191
56,2.23967578028836,0,0,0,0.988442693443638,0,0,1.48176845234599,45,335.666828155518,393.961650848389,1903.62897491455,0,0,0,335.666828155518,393.961650848389,1903.62897491455
57,2.38988366436237,0,0,0,1.04822115877128,0,0,0.953912062971373,45,56.9226293563843,66.3952560424805,282.964194536209,0,0,0,56.9226293563843,66.3952560424805,282.964194536209
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61243561655283,0,0,2.61243561655283
59,3,0.308222678299829,0,0,1.03079239821426,0,0,0,5.55271065121976,107.181750297546,70.3012809753418,62.3595116734505,0,0,0,107.181750297546,70.3012809753418,62.3595116734505
60,3,0.0436369422638782,0,0,0.951444603642375,0,0,0.601294012040143,45,177.66618347168,133.77649974823,266.07092165947,0,0,0,177.66618347168,133.77649974823,266.07092165947
61,2.88477468090512,0,0,0,0.967838759658935,0,0,1.09984049443107,45,418.951808929443,339.152109146118,1094.90898323059,0,0,0,418.951808929443,339.152109146118,1094.90898323059
62,2.33034826478224,0,0,0,0.976363639909428,0,0,0.0453563746679966,45,473.147708892822,538.573482513428,1671.14750766754,0,0,0,473.147708892822,538.573482513428,1671.14750766754
63,2.51267207493712,0,0,0,0.991487723095906,0,0,0.195381021725396,45,445.055507659912,500.358116149902,1344.59196281433,0,0,0,445.055507659912,500.358116149902,1344.59196281433
64,2.24586512613643,0,0,0,0.991019594516611,0,0,0,44.9376113435422,606.044319152832,711.174690246582,2367.69668197632,0,0,0,606.044319152832,711.174690246582,2367.69668197632
65,2.2050650198626,0,0,0,0.973820787413953,0,0,0,43.7529017767121,749.360809326172,880.186408996582,2847.2793674469,0,0,0,749.360809326172,880.186408996582,2847.2793674469
66,2.35242244078728,0,0,0,1.03541642259384,0,0,0,42.5633980157603,186.690292358398,218.468820571899,692.248991966248,0,0,0,186.690292358398,218.468820571899,692.248991966248
67,2.39753178130562,0,0,0,1.02884095172532,0,0,0,42.8292224196084,49.5731611251831,57.0114169120789,182.454845905304,0,0,0,49.5731611251831,57.0114169120789,182.454845905304
68,3,0.604854755382707,0,0,0.964732226830947,0,0,0.623891679611939,45,31.9657983779907,21.6093022823334,97.6124194860458,0,0,0,31.9657983779907,21.6093022823334,97.6124194860458
69,3,0.554084926635111,0,0,0.938420647611125,0,0,0.701949000064176,45,1.52088369429111,1.03514894098043,4.78129108808935,0,0,0,1.52088369429111,1.03514894098043,4.78129108808935
70,3,0.0381415243679071,0,0,0.945836281644762,0,0,1.04393905623661,45,416.052848815918,229.030078887939,822.653882980347,0,0,0,416.052848815918,229.030078887939,822.653882980347
71,2.94666668909435,0,0,0,0.912854927949275,0,0,1.00421680881277,45,1376.6150894165,761.750526428223,2724.57120132446,0,0,0,1376.6150894165,761.750526428223,2724.57120132446
72,3,0.0127072201745861,0,0,0.939786646774949,0,0,0.997892223683991,45,941.240875244141,528.258754730225,1889.0928440094,0,0,0,941.240875244141,528.258754730225,1889.0928440094
73,2.89774551538852,0,0,0,0.948601351333729,0,0,0.757348992008284,45,1160.32670593262,732.582695007324,2553.65458869934,0,0,0,1160.32670593262,732.582695007324,2553.65458869934
74,2.78204644874267,0,0,0,0.958927799732562,0,0,0.0704288491629563,45,816.025215148926,795.817481994629,2798.18634986877,0,0,0,816.025215148926,795.817481994629,2798.18634986877
75,3,0.154674509069444,0,0,0.934594158371617,0,0,0.376499165420533,45,1029.44142913818,866.500953674316,3480.30229187012,0,0,0,1029.44142913818,866.500953674316,3480.30229187012
76,3,0.100406221413832,0,0,0.95896340693189,0,0,0.61669957811042,45,714.556331634521,632.488868713379,2665.04627609253,0,0,0,714.556331634521,632.488868713379,2665.04627609253
77,3,0.102191530314299,0,0,0.94614651181144,0,0,0.395810090723756,45,899.394897460938,788.078773498535,3148.22682571411,0,0,0,899.394897460938,788.078773498535,3148.22682571411
78,3,0.487866196210827,0,0,0.891812229031121,0,0,0.598254084187064,45,1318.67167663574,897.325527191162,4056.6343460083,0,0,0,1318.67167663574,897.325527191162,4056.6343460083
79,3,0.558739705400919,0,0,0.937599276611395,0,0,0.639108524340029,45,180.147418022156,122.231250762939,555.792440652847,0,0,0,180.147418022156,122.231250762939,555.792440652847
80,3,0.010542141663429,0,0,0.932440888292557,0,0,1.33327878531585,45,468.833187103271,258.610408782959,1012.04865932465,0,0,0,468.833187103271,258.610408782959,1012.04865932465
81,3,0.1243073412516,0,0,1.00044691247322,0,0,1.3814504811897,45,1877.10282897949,1041.19060516357,3748.1114654541,0,0,0,1877.10282897949,1041.19060516357,3748.1114654541
82,3,0.0605880701149635,0,0,0.971686732716794,0,0,1.19599922220486,45,1755.10264587402,989.665939331055,3521.68087387085,0,0,0,1755.10264587402,989.665939331055,3521.68087387085
83,3,0.0392709879568011,0,0,0.944325820184965,0,0,0.404863401110549,45,895.272560119629,724.081649780273,2729.29463005066,0,0,0,895.272560119629,724.081649780273,2729.29463005066
84,3,0.56388659258599,0,0,0.955565517700899,0,0,1.99724592204623,45,450.63733291626,308.770490646362,1836.25079536438,0,0,0,450.63733291626,308.770490646362,1836.25079536438
85,3,0.489804990994334,0,0,0.893021916445859,0,0,0.817939731989847,45,1355.65470123291,922.38306427002,4396.32388114929,0,0,0,1355.65470123291,922.38306427002,4396.32388114929
86,3,0.47258059715367,0,0,0.903830228746268,0,0,1.53097033495926,45,1228.00391387939,849.775951385498,4695.37533187866,0,0,0,1228.00391387939,849.775951385498,4695.37533187866
87,3,0.473893360047532,0,0,0.879218874553366,0,0,0.532845000149397,45,1395.650390625,951.899322509766,4305.92523002625,0,0,0,1395.650390625,951.899322509766,4305.92523002625
88,3,0.495439151001495,0,0,0.835008341100871,0,0,0,40.955788651718,541.032482147217,377.381978988647,1729.66823768616,0,0,0,541.032482147217,377.381978988647,1729.66823768616
89,3,0.493718242961893,0,0,0.780535649818951,0,0,0,33.3246144805656,65.6178488731384,46.9867222309113,218.143164873123,0,0,0,65.6178488731384,46.9867222309113,218.143164873123
90,3,0.335408603052969,0,0,1.08976513281378,0,0,15.6625635059713,45,1.91226077079773,1.03245826810598,17.4499603658915,0,0,0,1.91226077079773,1.03245826810598,17.4499603658915
91,2.95749447113942,0,0,0,0.915788087689851,0,0,1.09490953164651,45,1318.36200714111,729.152442932129,2678.3569984436,0,0,0,1318.36200714111,729.152442932129,2678.3569984436
